time,service_fee,total_sell_price
08:00,0.12,0.742528
08:15,0.12,0.742528
08:30,0.12,0.742528
08:45,0.12,0.742528
09:00,0.12,0.742528
09:15,0.12,0.742528
09:30,0.12,0.742528
09:45,0.12,0.742528
10:00,0.1,0.722528
10:15,0.1,0.722528
10:30,0.1,0.722528
10:45,0.1,0.722528
11:00,0.1,0.722528
11:15,0.1,0.722528
11:30,0.1,0.722528
11:45,0.1,0.722528
12:00,0.23,0.553300
12:15,0.23,0.553300
12:30,0.23,0.553300
12:45,0.23,0.553300
13:00,0.23,0.553300
13:15,0.23,0.553300
13:30,0.23,0.553300
13:45,0.23,0.553300
14:00,0.23,0.553300
14:15,0.23,0.553300
14:30,0.23,0.553300
14:45,0.23,0.553300
15:00,0.11,0.732528
15:15,0.11,0.732528
15:30,0.11,0.732528
15:45,0.11,0.732528
16:00,0.07,0.968132
16:15,0.07,0.968132
16:30,0.07,0.968132
16:45,0.07,0.968132
17:00,0.06,0.958132
17:15,0.06,0.958132
17:30,0.06,0.958132
17:45,0.06,0.958132
18:00,0.06,0.958132
18:15,0.06,0.958132
18:30,0.06,0.958132
18:45,0.06,0.958132
19:00,0.08,0.978132
19:15,0.08,0.978132
19:30,0.08,0.978132
19:45,0.08,0.978132
20:00,0.08,0.978132
20:15,0.08,0.978132
20:30,0.08,0.978132
20:45,0.08,0.978132
21:00,0.08,0.978132
21:15,0.08,0.978132
21:30,0.08,0.978132
21:45,0.08,0.978132
22:00,0.1,0.722528
22:15,0.1,0.722528
22:30,0.1,0.722528
22:45,0.1,0.722528
23:00,0.1,0.722528
23:15,0.1,0.722528
23:30,0.1,0.722528
23:45,0.1,0.722528
00:00,0.1,0.722528
00:15,0.1,0.722528
00:30,0.1,0.722528
00:45,0.1,0.722528
01:00,0.18,0.526923
01:15,0.18,0.526923
01:30,0.18,0.526923
01:45,0.18,0.526923
02:00,0.18,0.526923
02:15,0.18,0.526923
02:30,0.18,0.526923
02:45,0.18,0.526923
03:00,0.18,0.526923
03:15,0.18,0.526923
03:30,0.18,0.526923
03:45,0.18,0.526923
04:00,0.18,0.526923
04:15,0.18,0.526923
04:30,0.18,0.526923
04:45,0.18,0.526923
05:00,0.18,0.526923
05:15,0.18,0.526923
05:30,0.18,0.526923
05:45,0.18,0.526923
06:00,0.1,0.722528
06:15,0.1,0.722528
06:30,0.1,0.722528
06:45,0.1,0.722528
07:00,0.1,0.722528
07:15,0.1,0.722528
07:30,0.1,0.722528
07:45,0.1,0.722528
